Date	Survey	SurveyResults
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	910	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	8	Promoter
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	1	Detractor
05-01-2023	4	Detractor
05-01-2023	1	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	8	Promoter
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	4	Detractor
05-01-2023	5	Detractor
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	7	Detractor
05-01-2023	7	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	9	Promoter
05-01-2023	10	Promoter
05-01-2023	10	Promoter
05-01-2023	1	Detractor
05-01-2023	5	Detractor
05-01-2023	9	Promoter
05-01-2023	9	Promoter
05-01-2023	1	Detractor
05-01-2023	10	Promoter
05-01-2023	9	Promoter
05-01-2023	5	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	10	Promoter
05-01-2023	7	Detractor
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	10	Promoter
05-01-2023	8	Promoter
05-01-2023	4	Detractor
05-01-2023	4	Detractor
05-01-2023	9	Promoter
